Class; Value; Class start; Class end;
1;29507754;0.000011424449;0.500009996393;
2;1132884;0.500009996393;1.000008568337;
3;12372;1.000008568337;1.500007140281;
4;3675;1.500007140281;2.000005712225;
5;1176;2.000005712225;2.500004284169;
6;618;2.500004284169;3.000002856112;
7;392;3.000002856112;3.500001428056;
8;4587;3.500001428056;4.000000000000;
